MR #,pass %,fail %
MR1,91.818182,8.181818
MR10,50,50
MR11,97.777778,2.222222
MR12,22.222222,77.777778
MR13,100,0
MR14,75,25
MR15,100,0
MR16,50,50
MR17,100,0
MR18,65,35
MR19,41.666667,58.333333
MR2,68.103448,31.896552
MR20,61.666667,38.333333
MR21,91.666667,8.333333
MR22,91.666667,8.333333
MR23,33.333333,66.666667
MR24,75,25
MR25,100,0
MR26,50,50
MR27,75,25
MR28,70,30
MR29,38.333333,61.666667
MR3,100,0
MR30,58.333333,41.666667
MR31,86.666667,13.333333
MR32,86.666667,13.333333
MR33,91,9
MR34,46,54
MR35,100,0
MR36,30,70
MR37,80,20
MR38,70,30
MR39,87.288136,12.711864
MR4,56.140351,43.859649
MR40,50,50
MR41,100,0
MR42,41.666667,58.333333
MR43,45.762712,54.237288
MR44,32.608696,67.391304
MR45,75,25
MR46,75,25
MR47,100,0
MR48,50,50
MR49,75,25
MR5,27.826087,72.173913
MR50,100,0
MR51,91.666667,8.333333
MR52,75,25
MR53,75,25
MR54,75,25
MR6,73.043478,26.956522
MR7,81.111111,18.888889
MR8,70.093458,29.906542
MR9,100,0
